county+AF8-name,state+AF8-abbr,value
Mercer County,NJ,0.03791821561338
Middlesex County,NJ,0.04034716758458
Monmouth County,NJ,0.02442781690141
Morris County,NJ,0.0211859895667
Ocean County,NJ,0.02378978481058
Passaic County,NJ,0.03086229877986
Salem County,NJ,0.02949208083015
Somerset County,NJ,0.02973234440503
Sussex County,NJ,0.02270429267396
Union County,NJ,0.03553821751618
Warren County,NJ,0.0413519395724
Bernalillo County,NM,0.05548246373299
Dona Ana County,NM,0.04765550239234
San Juan County,NM,0.06317030053035
Sandoval County,NM,0.0575807036634
Santa Fe County,NM,0.02061301308478
Torrance County,NM,0.02645820805773
Valencia County,NM,0.0481734827536
Carson City,NV,0.01923076923077
Clark County,NV,0.04338480208629
Storey County,NV,0
Washoe County,NV,0.03262781894759
Albany County,NY,0.0389148321103
Bronx County,NY,0.06025462361528
Broome County,NY,0.02844113764551
Chemung County,NY,0.02223799384907
Dutchess County,NY,0.0344190015645
Erie County,NY,0.03771393065067
Herkimer County,NY,0.03298038534977
Jefferson County,NY,0.10551347542716
Kings County,NY,0.05933191363686
Livingston County,NY,0.04771741375749
Madison County,NY,0.05075248158822
Monroe County,NY,0.02811589575767
Nassau County,NY,0.0239622364754
New York County,NY,0.04406474820144
Niagara County,NY,0.02665081488086
Oneida County,NY,0.03686466061472
Onondaga County,NY,0.04345869314506
Ontario County,NY,0.02986209143229
Orange County,NY,0.08803533704628
Orleans County,NY,0.0460088691796
Oswego County,NY,0.02752038547072
Putnam County,NY,0.01249572064362
Queens County,NY,0.04687849318131
Rensselaer County,NY,0.03499079189687
Richmond County,NY,0.03875030273674
Rockland County,NY,0.02027546668531
Saratoga County,NY,0.04491202798642
Schenectady County,NY,0.02763654256192
Schoharie County,NY,0.00725354434553
Suffolk County,NY,0.02506492722111
Tioga County,NY,0.02833923734111
Tompkins County,NY,0.03915547024952
Ulster County,NY,0.03759708571036
Warren County,NY,0.03869235628553
Washington County,NY,0.03963560811891
Wayne County,NY,0.03099228518223
Westchester County,NY,0.02467347024484
Yates County,NY,0.01139742319128
Allen County,OH,0.04457554900033
Belmont County,OH,0.00959664117559
Brown County,OH,0.02862595419847
Butler County,OH,0.05170022119747
Carroll County,OH,0.04212373848179
Clark County,OH,0.03300790330079
Clermont County,OH,0.03598099117447
Cuyahoga County,OH,0.02884158365778
Delaware County,OH,0.02794351630867
Fairfield County,OH,0.03595861838812
Franklin County,OH,0.04252160542919
Fulton County,OH,0.01410256410256
Geauga County,OH,0.00983032588204
Greene County,OH,0.05439469320066
Hamilton County,OH,0.03065652940025
Hocking County,OH,0.03717993686426
Jefferson County,OH,0.04710049855681
Lake County,OH,0.02690730879789
Lawrence County,OH,0.0399366643209
Licking County,OH,0.02777962384528
Lorain County,OH,0.02414217055996
Lucas County,OH,0.03683885573163
Madison County,OH,0.0265780730897
Mahoning County,OH,0.02439591078067
Medina County,OH,0.03347608850821
